,species,stage,PC1,PC2,PC3,D,WD,HD,UD,size,stage_ma,order,family,color
51,Orthildaites becaudi,Toarcian,-0.364651988,-0.037827721,-0.039715027,103,0.174757282,0.233009709,0.514563107,47740.5,178.4,Ammonitida,Hildoceratidae,#99CEE3
52,Hildaites murleyi,Toarcian,-0.278358526,-0.007057334,0.002674428,86,0.209302326,0.313953488,0.465116279,33282,178.4,Ammonitida,Hildoceratidae,#99CEE3
53,Cingolites picenus,Toarcian,-0.293541885,-0.061668267,-0.007284093,100,0.24,0.28,0.5,60000,178.4,Ammonitida,Hildoceratidae,#99CEE3
54,Tragophylloceras numismale,Pliensbachian,-0.041553108,0.267358129,0.014900969,47.1,0.161358811,0.515923567,0.167728238,4214.979,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
56,Tragophylloceras undulatum,Pliensbachian,-0.140956332,0.190011995,-0.048332957,44.5,0.152808989,0.395505618,0.240449438,3366.425,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
59,Tragophylloceras carinatum,Pliensbachian,-0.019977583,0.170828051,-0.015252361,32.3,0.247678019,0.464396285,0.191950464,2086.58,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
60,Tragophylloceras loscombi,Pliensbachian,0.049732632,0.231847502,0.018611879,68.4,0.248538012,0.542397661,0.131578947,19883.88,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
61,Juraphyllites libertus,Pliensbachian,-0.073861464,0.075537239,-0.025580015,65.7,0.283105023,0.400304414,0.273972603,20071.6785,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
62,Juraphyllites libertus,Pliensbachian,-0.055039601,0.075289393,0.007923132,25,0.296,0.436,0.28,1156.25,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
63,Juraphyllites planispira,Pliensbachian,-0.08451771,0.156726578,0.021149423,26.9,0.215613383,0.464684015,0.260223048,1049.2345,186.75,Phylloceratida,Juraphyllitidae,#80C5DD
67,Lytoceras fimbriatum,Pliensbachian,-0.192618482,-0.077136939,0.010870182,136.5,0.318681319,0.32967033,0.454212454,202625.7188,186.75,Ammonitida,Lytoceratidae,#80C5DD
70,Derolytoceras tortum,Pliensbachian,-0.102867765,-0.075691416,-0.035190513,19.9,0.376884422,0.326633166,0.371859296,742.51875,186.75,Ammonitida,Lytoceratidae,#80C5DD
71,Radstockiceras gemmellaroi,Pliensbachian,0.117524911,0.316455451,-0.006530291,104.3,0.230105465,0.578139981,0.02780441,65270.94,186.75,Ammonitida,Oxynoticeratidae,#80C5DD
72,Radstockiceras gemmellaroi,Pliensbachian,0.121367724,0.333669588,0.005204064,141,0.219858156,0.595744681,0.021985816,154077.75,186.75,Ammonitida,Oxynoticeratidae,#80C5DD
73,Radstockiceras gemmellaroi,Pliensbachian,0.075463258,0.33101871,-0.024578528,27.2,0.191176471,0.551470588,0.036764706,961.792,186.75,Ammonitida,Oxynoticeratidae,#80C5DD
79,Eopsiloceras germigense,Rhaetian,-0.17325125,-0.053025489,0.214786949,27,0.314814815,0.518518519,0.537037037,1549.125,204.9,Phylloceratida,Ussuritidae,#E3B9DB
88,Neocrimites meridionalis,Artinskian,0.297925287,-0.062891181,-0.024588838,31.1,0.633440514,0.498392283,0.115755627,4763.50925,284.7,Goniatitida,Adrianitidae,#E37B68
91,Valanginites broggii,Valanginian,0.35885169,-0.108592785,0.017439747,24,0.708333333,0.541666667,0.125,2448,136.35,Ammonitida,Olcostephanidae,#99D36A
92,Desmoceras (Desmoceras) latidorsatum,Albian,0.255298606,-0.065008081,0.040286492,14,0.607142857,0.535714286,0.178571429,416.5,106.75,Ammonitida,Desmoceratidae,#CCEA97
93,Desmoceras chimuense,Albian,0.035723691,0.04882648,0.011998133,117,0.376068376,0.465811966,0.239316239,150579,106.75,Ammonitida,Desmoceratidae,#CCEA97
94,Desmoceras chimuense,Albian,0.103148054,0.053225951,0.019087056,91,0.417582418,0.5,0.197802198,78669.5,106.75,Ammonitida,Desmoceratidae,#CCEA97
95,Desmophyllites gaudama,Coniacian,-0.108704994,0.035691018,0.02158236,65.5,0.290076336,0.41221374,0.34351145,20378.6875,88.05,Ammonitida,Desmoceratidae,#CCE968
96,Neodeshayesites nicholsoni,Albian,-0.061458167,0.003659977,0.030875378,110,0.345454545,0.427272727,0.336363636,114950,106.75,Ammonoidea,Deshayesitidae,#CCEA97
97,Douvilleiceras monile,Albian,-0.003672254,-0.15162132,0.039888513,46,0.5,0.402173913,0.391304348,12167,106.75,Ammonoidea,Douvilleiceratidae,#CCEA97
98,Douvilleiceras monile,Albian,0.055779075,-0.159537777,0.050532055,44,0.545454545,0.431818182,0.363636364,11616,106.75,Ammonoidea,Douvilleiceratidae,#CCEA97
99,Douvilleiceras monile,Albian,-0.028678936,-0.113100121,0.032704362,55,0.454545455,0.4,0.381818182,18906.25,106.75,Ammonoidea,Douvilleiceratidae,#CCEA97
100,Parengonoceras pernodosum,Albian,0.102441162,0.109674908,-0.030125042,149.5,0.37458194,0.47826087,0.140468227,312903.5,106.75,Ammonitida,Knemiceratidae,#CCEA97
101,Parengonoceras pernodosum,Albian,0.075540008,0.159267165,0.026537032,37.5,0.32,0.533333333,0.16,4218.75,106.75,Ammonitida,Knemiceratidae,#CCEA97
102,Parengonoceras pernodosum,Albian,0.037031693,0.142145004,-0.008381794,57,0.307017544,0.48245614,0.175438596,14214.375,106.75,Ammonitida,Knemiceratidae,#CCEA97
103,Parengonoceras pernodosum,Albian,0.033119724,0.16316867,-0.003033267,71,0.288732394,0.492957746,0.169014085,25835.125,106.75,Ammonitida,Knemiceratidae,#CCEA97
104,Parengonoceras haasi,Albian,0.100520517,0.232805297,-0.026037908,80,0.28125,0.525,0.075,36000,106.75,Ammonitida,Knemiceratidae,#CCEA97
105,Parengonoceras haasi,Albian,0.061801694,0.252016617,-0.033067026,70.5,0.241134752,0.510638298,0.085106383,21123.5625,106.75,Ammonitida,Knemiceratidae,#CCEA97
106,Parengonoceras haasi,Albian,0.051171547,0.258288569,-0.014274216,61,0.229508197,0.524590164,0.098360656,13023.5,106.75,Ammonitida,Knemiceratidae,#CCEA97
107,Parengonoceras haasi,Albian,0.081206968,0.260533249,-0.011232974,56.5,0.247787611,0.539823009,0.079646018,11172.875,106.75,Ammonitida,Knemiceratidae,#CCEA97
108,Parengonoceras champaraense,Albian,0.092325854,0.226708668,0.006074903,139,0.28057554,0.54676259,0.100719424,188379.75,106.75,Ammonitida,Knemiceratidae,#CCEA97
109,Glottoceras attenuatum,Albian,0.093939008,0.191819412,-0.00110306,52,0.307692308,0.528846154,0.115384615,10816,106.75,Ammonitida,Knemiceratidae,#CCEA97
110,Glottoceras attenuatum,Albian,0.099216743,0.174333998,0.006997626,55.5,0.324324324,0.531531532,0.126126126,13861.125,106.75,Ammonitida,Knemiceratidae,#CCEA97
111,Glottoceras attenuatum,Albian,0.117584105,0.221282309,0.035109706,63,0.301587302,0.579365079,0.103174603,18852.75,106.75,Ammonitida,Knemiceratidae,#CCEA97
112,Glottoceras attenuatum,Albian,0.10087236,0.159491275,0.009324945,52,0.336538462,0.528846154,0.134615385,11830,106.75,Ammonitida,Knemiceratidae,#CCEA97
113,Glottoceras attenuatum,Albian,0.100678904,0.135542877,-0.014548326,48,0.354166667,0.5,0.135416667,9792,106.75,Ammonitida,Knemiceratidae,#CCEA97
114,Knemiceras syriacum,Albian,0.164300229,0.035158617,0.020493921,53,0.471698113,0.518867925,0.169811321,17556.25,106.75,Ammonitida,Knemiceratidae,#CCEA97
115,Glottoceras triangulare,Albian,0.180932839,0.074391102,0.053040731,97,0.453608247,0.567010309,0.154639175,103499,106.75,Ammonitida,Knemiceratidae,#CCEA97
116,Glottoceras ollonense,Albian,0.103388295,0.154352682,0.017697951,114,0.342105263,0.535087719,0.140350877,126711,106.75,Ammonitida,Knemiceratidae,#CCEA97
117,Glottoceras raimondii,Albian,0.087030918,0.203913681,0.007605527,59.5,0.294117647,0.537815126,0.117647059,15488.59375,106.75,Ammonitida,Knemiceratidae,#CCEA97
118,Glottoceras raimondii,Albian,0.107026805,0.180751284,0.018930298,117,0.324786325,0.547008547,0.123931624,130045.5,106.75,Ammonitida,Knemiceratidae,#CCEA97
119,Glottoceras raimondii,Albian,0.090982466,0.174726319,0.010013013,56.5,0.318584071,0.530973451,0.132743363,14365.125,106.75,Ammonitida,Knemiceratidae,#CCEA97
120,Glottoceras raimondii,Albian,0.081582968,0.1397318,0.001677173,65,0.338461538,0.507692308,0.153846154,23237.5,106.75,Ammonitida,Knemiceratidae,#CCEA97
121,Glottoceras raimondii,Albian,0.112166227,0.138154493,0.010498964,75,0.36,0.526666667,0.14,37968.75,106.75,Ammonitida,Knemiceratidae,#CCEA97
122,Glottoceras raimondii,Albian,0.084154793,0.136997363,-0.01522944,76,0.342105263,0.493421053,0.144736842,37544,106.75,Ammonitida,Knemiceratidae,#CCEA97
123,Glottoceras raimondii,Albian,0.084964615,0.117741757,0.000303801,98,0.357142857,0.5,0.163265306,84035,106.75,Ammonitida,Knemiceratidae,#CCEA97
124,Glottoceras raimondii,Albian,0.09363398,0.125555211,0.014057974,112,0.357142857,0.517857143,0.160714286,125440,106.75,Ammonitida,Knemiceratidae,#CCEA97
125,Glottoceras raimondii,Albian,0.048775513,0.097684241,0.015109425,112,0.348214286,0.491071429,0.205357143,122304,106.75,Ammonitida,Knemiceratidae,#CCEA97
126,Glottoceras raimondii,Albian,0.069509348,0.121108618,0.01265389,90,0.344444444,0.505555556,0.177777778,62775,106.75,Ammonitida,Knemiceratidae,#CCEA97
127,Glottoceras raimondii,Albian,0.079041368,0.198320885,-0.014106416,70,0.292857143,0.514285714,0.114285714,25112.5,106.75,Ammonitida,Knemiceratidae,#CCEA97
128,Prolyelliceras peruvianum,Albian,-0.087456707,-0.008567864,0.010448322,43,0.337209302,0.395348837,0.348837209,6702.625,106.75,Ammonitida,Prolyelliceratidae,#CCEA97
129,Lyelliceras lyelli,Albian,-0.080806579,-0.050079306,0.01964336,55,0.372727273,0.390909091,0.372727273,15503.125,106.75,Ammonitida,Lyelliceratidae,#CCEA97
130,Lyelliceras lyelli,Albian,-0.112568522,-0.057501727,0.011763244,42,0.357142857,0.369047619,0.392857143,6615,106.75,Ammonitida,Lyelliceratidae,#CCEA97
131,Lyelliceras lyelli,Albian,-0.106386781,-0.063696895,0.007724129,41,0.365853659,0.365853659,0.390243902,6303.75,106.75,Ammonitida,Lyelliceratidae,#CCEA97
132,Lyelliceras lyelli,Albian,-0.157761205,-0.059201728,0.003117954,33.5,0.328358209,0.343283582,0.417910448,3086.1875,106.75,Ammonitida,Lyelliceratidae,#CCEA97
133,Lyelliceras lyelli,Albian,-0.032817804,-0.103286327,0.030487499,22.5,0.444444444,0.4,0.377777778,1265.625,106.75,Ammonitida,Lyelliceratidae,#CCEA97
134,Lyelliceras lyelli,Albian,-0.00548177,-0.041759709,0.044251173,18,0.416666667,0.444444444,0.333333333,607.5,106.75,Ammonitida,Lyelliceratidae,#CCEA97
135,Lyelliceras lyelli,Albian,-0.063496565,-0.056391557,0.011850212,18,0.388888889,0.388888889,0.361111111,567,106.75,Ammonitida,Lyelliceratidae,#CCEA97
136,Prolyelliceras ulrichi,Albian,-0.175456841,-0.031422999,-0.006577472,35.5,0.295774648,0.338028169,0.408450704,3308.15625,106.75,Ammonitida,Prolyelliceratidae,#CCEA97
137,Prolyelliceras ulrichi,Albian,0.060011384,-0.021104701,0.004975342,13.5,0.444444444,0.444444444,0.259259259,273.375,106.75,Ammonitida,Prolyelliceratidae,#CCEA97
138,Prolyelliceras ulrichi,Albian,-0.145962213,-0.04427105,-0.000758978,40,0.325,0.35,0.4,5200,106.75,Ammonitida,Prolyelliceratidae,#CCEA97
139,Prolyelliceras ulrichi,Albian,-0.212190026,-0.053062303,0.008757539,73,0.287671233,0.328767123,0.452054795,27977.25,106.75,Ammonitida,Prolyelliceratidae,#CCEA97
140,Sharpeiceras florencae,Cenomanian,-0.142479568,0.029434581,-0.021367915,136,0.272058824,0.360294118,0.345588235,171088,97.2,Ammonitida,Acanthoceratidae,#B3DE53
141,Acanthoceras chasca,Cenomanian,0.069097042,-0.010365452,0.03278737,61,0.442622951,0.475409836,0.262295082,25116.75,97.2,Ammonitida,Acanthoceratidae,#B3DE53
142,Broggiiceras olssoni,Turonian,0.110263651,-0.029316315,-0.006522783,31,0.483870968,0.451612903,0.225806452,3603.75,91.85,Ammonitida,Vascoceratidae,#BFE35D
143,Broggiiceras olssoni,Turonian,0.108862695,-0.090565752,0.009019722,52,0.528846154,0.442307692,0.269230769,18590,91.85,Ammonitida,Vascoceratidae,#BFE35D
144,Broggiiceras olssoni,Turonian,0.087685676,-0.129505434,0.02317351,62.5,0.544,0.432,0.312,33203.125,91.85,Ammonitida,Vascoceratidae,#BFE35D
145,Broggiiceras olssoni,Turonian,0.178347193,-0.123993619,0.013460331,65,0.6,0.461538462,0.246153846,41193.75,91.85,Ammonitida,Vascoceratidae,#BFE35D
146,Broggiiceras olssoni,Turonian,0.127530739,-0.069535139,0.029296321,78,0.525641026,0.474358974,0.256410256,62361,91.85,Ammonitida,Vascoceratidae,#BFE35D
147,Broggiiceras olssoni,Turonian,0.12123754,-0.136542913,0.006447282,84,0.571428571,0.428571429,0.285714286,84672,91.85,Ammonitida,Vascoceratidae,#BFE35D
148,Broggiiceras olssoni,Turonian,0.137936142,-0.07863105,0.025393468,89,0.539325843,0.471910112,0.252808989,95052,91.85,Ammonitida,Vascoceratidae,#BFE35D
149,Broggiiceras olssoni,Turonian,0.032439261,-0.094792872,0.010362193,93.5,0.481283422,0.411764706,0.320855615,98350.3125,91.85,Ammonitida,Vascoceratidae,#BFE35D
150,Broggiiceras humboldti,Turonian,0.164649095,-0.013086636,0.009047982,63,0.507936508,0.492063492,0.19047619,31752,91.85,Ammonitida,Vascoceratidae,#BFE35D
151,Broggiiceras humboldti,Turonian,0.269056791,-0.007623519,0.010648062,82,0.573170732,0.536585366,0.12195122,79007,91.85,Ammonitida,Vascoceratidae,#BFE35D
152,Broggiiceras humboldti,Turonian,0.127509193,0.057928609,-0.017894324,100,0.43,0.48,0.16,107500,91.85,Ammonitida,Vascoceratidae,#BFE35D
153,Thomasites fischeri,Turonian,0.222365779,-0.100517797,0.01124644,51.5,0.611650485,0.485436893,0.203883495,20886.46875,91.85,Ammonitida,Pseudotissotiidae,#BFE35D
154,Thomasites fischeri,Turonian,0.168789005,-0.029889316,0.009856167,86,0.523255814,0.488372093,0.197674419,83205,91.85,Ammonitida,Pseudotissotiidae,#BFE35D
155,Thomasites fischeri,Turonian,0.184096186,-0.004343282,0.005660245,105,0.514285714,0.5,0.171428571,148837.5,91.85,Ammonitida,Pseudotissotiidae,#BFE35D
156,Texanites hourcqi,Santonian,-0.174203169,-0.029216666,0.000143184,100,0.295,0.345,0.41,73750,84.95,Ammonitida,Collignoniceratidae,#D9EF74
157,Coilopoceras jenksi,Turonian,0.166305448,0.282741804,0.012538449,135.5,0.287822878,0.601476015,0.025830258,179012.4375,91.85,Ammonitida,Coilopoceratidae,#BFE35D
158,Coilopoceras jenksi,Turonian,0.126284907,0.316899721,0.00599435,157,0.23566879,0.592356688,0.02866242,228003.25,91.85,Ammonitida,Coilopoceratidae,#BFE35D
159,Coilopoceras jenksi,Turonian,0.114102173,0.339748655,0.011051831,95,0.210526316,0.6,0.026315789,45125,91.85,Ammonitida,Coilopoceratidae,#BFE35D
161,Coilopoceras newelli,Turonian,0.084968445,0.176046669,-0.032214777,150,0.313333333,0.493333333,0.113333333,264375,91.85,Ammonitida,Coilopoceratidae,#BFE35D
162,Coilopoceras newelli,Turonian,0.046699256,0.221098847,-0.060655288,185,0.254054054,0.47027027,0.097297297,402143.75,91.85,Ammonitida,Coilopoceratidae,#BFE35D
163,Coilopoceras newelli,Turonian,0.029653051,0.189956638,-0.013322315,199,0.266331658,0.492462312,0.150753769,524713.25,91.85,Ammonitida,Coilopoceratidae,#BFE35D
164,Wrightoceras munieri,Turonian,0.161604531,0.224008613,0.004048119,35,0.328571429,0.571428571,0.057142857,3521.875,91.85,Ammonitida,Pseudotissotiidae,#BFE35D
165,Wrightoceras munieri,Turonian,0.11944029,0.217695895,-0.002047076,47.5,0.305263158,0.547368421,0.084210526,8178.90625,91.85,Ammonitida,Pseudotissotiidae,#BFE35D
166,Barroisiceras (Barroisiceras) kayi,Coniacian,0.041108461,0.12683166,0.030984067,84,0.321428571,0.511904762,0.202380952,47628,88.05,Ammonitida,Collignoniceratidae,#CCE968
167,Barroisiceras (Barroisiceras) kayi,Coniacian,0.02934463,0.139111025,0.017215221,92,0.304347826,0.5,0.195652174,59248,88.05,Ammonitida,Collignoniceratidae,#CCE968
168,Barroisiceras (Solgerites) brancoi,Coniacian,0.053192066,0.202420601,0.000821137,55,0.272727273,0.518181818,0.136363636,11343.75,88.05,NA,NA,#CCE968
169,Barroisiceras (Forresteria) basseae,Coniacian,-0.030261897,0.123174839,0.001471226,94,0.276595745,0.457446809,0.234042553,57434,88.05,NA,NA,#CCE968
170,Forresteria (Forresteria) alluaudi,Coniacian,-0.031793081,0.009358504,0.021385974,48.5,0.360824742,0.432989691,0.309278351,10291.09375,88.05,Ammonitida,Collignoniceratidae,#CCE968
171,Tissotia fourneli,Santonian,0.106250837,0.121723019,0.019787327,38,0.368421053,0.526315789,0.157894737,5054,84.95,Ammonoidea,Tissotiidae,#D9EF74
172,Tissotia hedbergi,Coniacian,0.16017689,0.270872149,0.020590246,61.5,0.292682927,0.601626016,0.040650407,17020.125,88.05,Ammonoidea,Tissotiidae,#CCE968
173,Tissotia hedbergi,Coniacian,0.11692858,0.24820506,0.016556904,44.5,0.280898876,0.573033708,0.078651685,6188.28125,88.05,Ammonoidea,Tissotiidae,#CCE968
174,Tissotia hedbergi,Coniacian,0.174412879,0.250992603,0.031957775,41,0.317073171,0.609756098,0.048780488,5463.25,88.05,Ammonoidea,Tissotiidae,#CCE968
175,Buchiceras bilobatum,Coniacian,0.127068117,0.025791123,0.006954272,70.5,0.453900709,0.489361702,0.191489362,39762,88.05,Ammonitida,Acanthoceratidae,#CCE968
176,Buchiceras bilobatum,Coniacian,0.06507101,0.014678271,0.006495644,76,0.421052632,0.460526316,0.236842105,46208,88.05,Ammonitida,Acanthoceratidae,#CCE968
177,Buchiceras bilobatum,Coniacian,0.112263368,0.029875926,0.031653696,85,0.441176471,0.505882353,0.211764706,67734.375,88.05,Ammonitida,Acanthoceratidae,#CCE968
178,Buchiceras bilobatum,Coniacian,0.056683827,0.076235953,0.024613077,92,0.369565217,0.494565217,0.217391304,71944,88.05,Ammonitida,Acanthoceratidae,#CCE968
179,Buchiceras bilobatum,Coniacian,0.112608832,0.012155654,0.014127914,33,0.454545455,0.484848485,0.212121212,4083.75,88.05,Ammonitida,Acanthoceratidae,#CCE968
180,Buchiceras bilobatum,Coniacian,0.099202261,0.013802294,0.018832572,63,0.444444444,0.484126984,0.222222222,27783,88.05,Ammonitida,Acanthoceratidae,#CCE968
181,Buchiceras bilobatum,Coniacian,0.12018893,-0.047101717,0.020974015,63.5,0.503937008,0.472440945,0.244094488,32258,88.05,Ammonitida,Acanthoceratidae,#CCE968
182,Buchiceras bilobatum,Coniacian,0.047579991,0.015307734,0.025223593,66,0.409090909,0.46969697,0.257575758,29403,88.05,Ammonitida,Acanthoceratidae,#CCE968
183,Buchiceras bilobatum,Coniacian,0.049914053,0.00033116,0.014022738,73.5,0.421768707,0.455782313,0.258503401,41867.4375,88.05,Ammonitida,Acanthoceratidae,#CCE968
184,Buchiceras bilobatum,Coniacian,0.126097832,0.000437874,0.034315572,81.5,0.472392638,0.503067485,0.220858896,63931.65625,88.05,Ammonitida,Acanthoceratidae,#CCE968
185,Buchiceras bilobatum,Coniacian,0.084425346,0.045361097,0.020269858,81.5,0.411042945,0.490797546,0.214723926,55628.84375,88.05,Ammonitida,Acanthoceratidae,#CCE968
186,Buchiceras bilobatum,Coniacian,0.108754019,0.06690554,0.014315848,81.5,0.411042945,0.503067485,0.18404908,55628.84375,88.05,Ammonitida,Acanthoceratidae,#CCE968
187,Buchiceras bilobatum,Coniacian,0.064537087,0.016215556,0.005201507,87,0.41954023,0.459770115,0.235632184,69067.125,88.05,Ammonitida,Acanthoceratidae,#CCE968
188,Buchiceras bilobatum,Coniacian,0.126134722,0.02410296,0.007245992,88,0.454545455,0.488636364,0.193181818,77440,88.05,Ammonitida,Acanthoceratidae,#CCE968
189,Buchiceras bilobatum,Coniacian,0.101671483,-0.020797252,0.011229295,89,0.471910112,0.466292135,0.235955056,83170.5,88.05,Ammonitida,Acanthoceratidae,#CCE968
190,Buchiceras bilobatum,Coniacian,0.156002194,-0.073993848,0.040104954,36.5,0.547945205,0.493150685,0.246575342,6661.25,88.05,Ammonitida,Acanthoceratidae,#CCE968
191,Buchiceras bilobatum,Coniacian,0.060769247,0.008756244,0.015011686,97,0.422680412,0.463917526,0.24742268,96442.25,88.05,Ammonitida,Acanthoceratidae,#CCE968
